FName,LName,Target,Min,Max,Location,Focus,0,1,2,3,4
Sriram,Gollapalli,$20K,$10K,$50K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Angel, Scout, and Solo-Capitalists  , Boston / New England  , Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Developer Tools , Developer Tools , Diverse Investors  , E-commerce , E-commerce , FinTech , FinTech , IoT , IoT , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Social Commerce , Social Commerce , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.brandnewmatter.com/,https://www.linkedin.com/in/thomasmsparico/,https://www.twitter.com/ThomasSparico,https://www.angel.co/u/thomas-m-sparico,https://www.crunchbase.com/person/thomas-sparico
Whitney,Sales,$250K,$100K,$750K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, Canada AI , AI , Analytics , Analytics , Angel, Scout, and Solo-Capitalists  , Data Services , Data Services , Developer Tools , Developer Tools , Diverse Investors  , Enterprise , Enterprise , Female Investors  , FinTech , FinTech , MarketingTech , MarketingTech , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , San Francisco Bay Area  , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders   ClimateTech/CleanTech , ClimateTech/CleanTech , Direct-to-Consumer (DTC) , Direct-to-Consumer (DTC) , Diverse Investors  , EnergyTech , EnergyTech , FinTech , FinTech , Food and Beverage , Food and Beverage , Future of Work , Future of Work , Impact , Impact , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , Social Commerce , Social Commerce , Investors who were founders  ",https://www.bergtop.vc/,https://www.linkedin.com/in/vladimirnagin/,https://www.twitter.com/vladimir_nagin,https://www.crunchbase.com/person/vladimir-nagin,
Andre,De Baubigny,$1M,$100K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Menlo Park (CA) AI , AI , Media/Content , Media/Content , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Social Networks , Social Networks ",https://www.scx.holdings/,https://www.linkedin.com/in/andreidragospopescu/,https://www.twitter.com/Andre1Popescu,https://www.angel.co/u/andre1-popescu,https://www.crunchbase.com/person/andrei-popescu-3991
Lu,Zhang,$1.5M,$500K,$2.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) AI , Cloud Infrastructure , Data Services , Developer Tools , Diverse Investors  , Female Investors  , Future of Work , Insurance , Medical Devices , SaaS (Seed) , San Francisco Bay Area  , Security , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.catapultvc.com/about/,https://www.linkedin.com/in/vcjosh/,https://www.twitter.com/VCjosh,https://www.angel.co/p/josh-goldman,https://www.crunchbase.com/person/josh-goldman
Mike,Dauber,$2.8M,$500K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Menlo Park (CA) AI , Analytics , ClimateTech/CleanTech , Cloud Infrastructure , Data Services , Developer Tools , Enterprise , Local Services , SaaS (Seed) , San Francisco Bay Area  , Social Networks ",https://www.voodooventures.com/,https://www.linkedin.com/in/cbschultz/,https://www.twitter.com/cschultz,https://www.angel.co/cschultz/,https://www.crunchbase.com/person/chris-schultz
Jay,Po,$2.5M,$2.0M,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) Boston / New England  , Cloud Infrastructure , Consumer Internet , Enterprise , SaaS (Seed) ",https://www.linkedin.com/in/barak-kaufman-a7759933/,https://www.twitter.com/barak_kaufman,https://www.crunchbase.com/person/barak-kaufman,,
Kirby,Winfield,$175K,$100K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Seattle (WA) , SF Bay Area (CA) , New York (NY) , Seattle / Portland  Direct-to-Consumer (DTC) , Direct-to-Consumer (DTC) , E-commerce , E-commerce , Enterprise , Enterprise , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Seattle / Portland  ",https://www.stride.vc/,https://www.linkedin.com/in/freddestin/?originalSubdomain=uk,https://www.twitter.com/fdestin?lang=en,https://www.angel.co/fdestin,https://www.crunchbase.com/person/fred-destin
David,Paul,$2.0M,$500K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Texas, Georgia, Florida, Tennessee, Arizona, California, Colorado  AI , Analytics , Data Services , Digital Health , Enterprise Applications , Enterprise , Health IT , Los Angeles / Southern California  , SaaS (Seed) , SMB Software , Space , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.coinfund.io/#TEAM,https://www.linkedin.com/pub/seth-ginns/3/923/726/,https://www.angel.co/seth-ginns,,
Todor,Tashev,$2.5M,$250K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Redwood City (CA) AI , Enterprise , FinTech , Marketplaces , SaaS (Seed) , San Francisco Bay Area  , Security , Social Networks ",https://www.tnt.ventures/,https://www.linkedin.com/in/mtillman/,https://www.twitter.com/mtillman?lang=en,https://www.angel.co/p/mtillman,https://www.crunchbase.com/person/matt-tillman
Ravindra,Krishnappa,$250K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Singapore, San Jose (CA) , San Francisco (CA) , Bangalore  AgTech , AgTech , Digital Health , Digital Health , Direct-to-Consumer (DTC) , Direct-to-Consumer (DTC) , Diverse Investors  , Education , Education , FinTech , FinTech , Gig Economy , Gig Economy , Messaging , Messaging , SaaS (Pre-Seed) , SaaS (Seed) , Social Commerce , Social Commerce , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who were founders  ",https://www.linkedin.com/in/sriramg/,https://www.crunchbase.com/person/sriram-gollapalli,,,
Bradley,Harrison,$750K,$500K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) Cloud Infrastructure , Cloud Infrastructure , Enterprise , Enterprise , New York City  , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Social Networks , Social Networks ",https://www.acceleprise.vc/,https://www.linkedin.com/in/whitneysales/,https://www.twitter.com/thesalesmethod,https://www.angel.co/p/whitney-sales,https://www.crunchbase.com/person/whitney-sales
Joel,Harris,$25K,$25K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Ames (IA) AgTech , AgTech , Analytics , Analytics , BioTech , BioTech , ClimateTech/CleanTech , ClimateTech/CleanTech , Diverse Investors  , EnergyTech , EnergyTech , Enterprise , Enterprise , IoT , IoT , Midwest  , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.linkedin.com/in/micah-rutiz-741aa61/,,,,
Eran,Savir,$1.5M,$500K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Israel Advertising , AI , Direct-to-Consumer (DTC) , Diverse Investors  , E-commerce , Enterprise , Israel  , MarketingTech , Marketplaces , Media/Content , SaaS (Seed) , Sales & CRM , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.mvp-vc.com/,https://www.linkedin.com/in/andre-de-baubigny-7694b/,https://www.angel.co/andre-de-baubigny,https://www.crunchbase.com/person/andre-de-baubigny,
Daley,Ervin,$250K,$250K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , AI , Analytics , Analytics , Cybersecurity , Cybersecurity , Data Services , Data Services , Enterprise Applications , Enterprise Applications , Enterprise , Enterprise , Future of Work , Future of Work , Logistics , Logistics , Marketplaces , Marketplaces , Raleigh-Durham / Southeast US  , SaaS (Pre-Seed) , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.fusionfund.com/,https://www.linkedin.com/in/luzhangvc/,https://www.twitter.com/luzhangvc,https://www.crunchbase.com/person/lu-zhang,
TK,Mori,$600K,$200K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Menlo Park (CA) , SF Bay Area (CA) , San Francisco (CA)  Cloud Infrastructure , Cloud Infrastructure , Consumer Internet , Consumer Internet , E-commerce , E-commerce , Enterprise , Enterprise , IoT , IoT , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Security , Security , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.amplifypartners.com/team/mike-dauber/,https://www.linkedin.com/in/dauber/,https://www.twitter.com/dauber,https://www.angel.co/mdauber,https://www.crunchbase.com/person/mike-dauber
Bryan,Frist,$350K,$100K,$600K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Nashville (TN), SF Bay Area (CA) Enterprise , Enterprise , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.stage2.capital/,https://www.linkedin.com/in/jaylpo/,https://www.crunchbase.com/person/jay-po,,
Peter,Marsh,$50K,$0 ,$0 ,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," North Carolina, Winston-Salem (NC) Enterprise , Enterprise , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.ascend.vc/about,https://www.linkedin.com/in/winfield/,https://www.twitter.com/kirbywinfield,https://www.angel.co/p/kirbywinfield,https://www.crunchbase.com/person/kirby-winfield-3
Ruslan,Sarkisyan,$1.5M,$200K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe AI , Cloud Infrastructure , Consumer Internet , Developer Tools , Diverse Investors  , Education , FinTech , Health IT , London  , Marketplaces , SaaS (Seed) , Social Commerce , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.dwpcapital.com/,https://www.linkedin.com/in/davidpaulvc/,https://www.twitter.com/davidpaulvc,https://www.crunchbase.com/person/david-paul-5,
Steve,Brownlie,$1M,$250K,$1.4M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe, Canada , Mexico (Mexico), United States  AI , AI , Analytics , Analytics , ConstructionTech , ConstructionTech , GovTech , GovTech , Human Capital/HRTech , Human Capital/HRTech , IoT , IoT , MarketingTech , MarketingTech , New York City  , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.omidyarventures.com/#team,https://www.linkedin.com/in/ttashev/,https://www.twitter.com/rodot,https://www.angel.co/todor-tashev,https://www.crunchbase.com/person/todor-tashev
Roberto,Magnifico,$200K,$50K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Rome (Italy) AI , AI , Cloud Infrastructure , Cloud Infrastructure , Cybersecurity , Cybersecurity , IoT , IoT , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.julyventures.com/,https://www.linkedin.com/in/ravindrakrishnappa/,,,
Rahul,Prakash,$100K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) Consumer Internet , Consumer Internet , Data Services , Data Services , EnergyTech , EnergyTech , Enterprise , Enterprise , IoT , IoT , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Social Networks , Social Networks ",https://www.scoutventures.com/bradley,https://www.linkedin.com/in/bradharrison/,https://www.twitter.com/bradharrison1,https://www.angel.co/bhv-1,https://www.crunchbase.com/person/bradley-c-harrison
Gene,Wong,$875K,$500K,$1.3M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Reno (NV) , Nevada, SF Bay Area (CA)  FinTech , FinTech , IoT , IoT , Lodging/Hospitality , Lodging/Hospitality , Manufacturing , Manufacturing , SaaS (Pre-Seed) , SaaS (Seed) , Security , Security , Web3/Blockchain , Web3/Blockchain ",https://www.agstartupengine.com/,https://www.linkedin.com/in/joel-harris-58bb6119/,https://www.twitter.com/@joeltharris,https://www.crunchbase.com/person/joel-harris,
Jeff,Rosen,$400K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , AI , Cloud Infrastructure , Cloud Infrastructure , Cybersecurity , Cybersecurity , Data Services , Data Services , Developer Tools , Developer Tools , Enterprise , Enterprise , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Space , Space , TransportationTech , TransportationTech , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.menaraventures.com/,https://www.linkedin.com/in/eransavir/,https://www.twitter.com/esavir,https://www.angel.co/eran-savir,https://www.crunchbase.com/person/eran-savir
Brandon,Farwell,$1M,$250K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , AI , Cloud Infrastructure , Cloud Infrastructure , Consumer Health , Consumer Health , Consumer Internet , Consumer Internet , Data Services , Data Services , Developer Tools , Developer Tools , Enterprise Infrastructure , Enterprise Infrastructure , Mobility , Mobility , SaaS (Pre-Seed) , SaaS (Seed) , Space , Space , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.engage.vc/,https://www.linkedin.com/in/daleyervin/,https://www.twitter.com/daleyervin,https://www.crunchbase.com/person/daley-ervin,
Marcelo,Sato,$2.5M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Sao Paulo (Brazil) Consumer Internet , Digital Health , Education , Enterprise , GovTech , Health & Hospital Services , Health IT , Marketplaces , Real Estate/PropTech , SaaS (Seed) ",https://www.goaheadvc.com/our-team/,https://www.linkedin.com/in/tkmori/,https://www.twitter.com/tkmori,https://www.angel.co/p/tkmori-zenshincp-com,https://www.crunchbase.com/person/takeshi-mori
Douglass,Ellenoff,$140K,$25K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) AI , AI , Data Services , Data Services , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.linkedin.com/in/bryan-frist-b2514017/,https://www.angel.co/p/bryan-frist,https://www.crunchbase.com/person/bryan-frist,,
Daniel,Leff,$1.5M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) , San Francisco (CA) Media/Content , SaaS (Seed) , San Francisco Bay Area  ",https://www.linkedin.com/in/petermarsh1/,https://www.angel.co/u/peter-marsh,https://www.crunchbase.com/person/peter-marsh,,
Marcin,Hejka,$1M,$100K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Warsaw (Poland) AI , AI , Data Services , Data Services , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , Security , Security ",https://www.begincl.com/,https://www.linkedin.com/in/ruslansarkisyan/,https://www.crunchbase.com/person/ruslan-sarkisyan,,
Vikram,Lakhwara,$500K,$250K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, San Francisco (CA) , New York (NY) , Seattle (WA) , Denver (CO) , Newark (CA) , Mountain View (CA)  AgTech , AgTech , AI , AI , Cloud Infrastructure , Cloud Infrastructure , Diverse Investors  , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.leadoutcapital.com/,https://www.linkedin.com/in/stevebrownlie-leadout/,,,
Eric,Rosenblum,$1M,$100K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, Canada AI , AI , Developer Tools , Developer Tools , EnergyTech , EnergyTech , Enterprise , Enterprise , Health IT , Health IT , Logistics , Logistics , Manufacturing , Manufacturing , Material Science , Material Science , Medical Devices , Medical Devices , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.lventuregroup.com/,https://www.linkedin.com/in/rmagnifico/,https://www.twitter.com/RMagnifico,https://www.angel.co/rmagnifico,https://www.crunchbase.com/person/roberto-magnifico
Carlos,Nasillo,$750K,$100K,$15.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," London , Berlin (Germany), Tel Aviv (Israel) , Warsaw (Poland), San Francisco (CA)  AI , AI , AR/VR , AR/VR , EnergyTech , EnergyTech , IoT , IoT , Marketplaces , Marketplaces , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , Security , Security , TransportationTech , TransportationTech , Web3/Blockchain , Web3/Blockchain ",https://www.nomovc.com/,https://www.linkedin.com/in/rprakash/,https://www.twitter.com/rahulprakash,https://www.angel.co/u/rahulprakash,https://www.crunchbase.com/person/rahul-prakash
Matthew,Nordgren,$1M,$250K,$25.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," California, United States, China  AgTech , AgTech , Consumer Internet , Consumer Internet , Diverse Investors  , E-commerce , E-commerce , Enterprise , Enterprise , Health IT , Health IT , Impact , Impact , Marketplaces , Marketplaces , Media/Content , Media/Content , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.renoseedfund.com/about-us,https://www.linkedin.com/company/reno-seed-fund/,https://www.crunchbase.com/person/gene-wong-562e,,
Stephan,Morais,$2.5M,$150K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , E-commerce , FinTech , IoT , Marketplaces , SaaS (Seed) , Web3/Blockchain ",https://www.broom.ventures/,https://www.linkedin.com/in/jeff-rosen/,,,
Kevin,Siskar,$25K,$5K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) , San Francisco (CA) , San Jose (CA) , New York (NY) , Buffalo (NY)  Advertising , Advertising , AI , AI , Enterprise , Enterprise , FinTech , FinTech , MarketingTech , MarketingTech , New York City  , Payments , Payments , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , Space , Space , Web3/Blockchain , Web3/Blockchain ",https://www.linkedin.com/in/brandonfarwell/,,,,
Jason,Chapman,$500K,$250K,$750K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, Israel , Europe  Cloud Infrastructure , Cloud Infrastructure , Colorado / Utah  , Consumer Internet , Consumer Internet , Developer Tools , Developer Tools , Entertainment & Sports , Entertainment & Sports , Games , Games , Gaming/eSports , Gaming/eSports , SaaS (Pre-Seed) , SaaS (Seed) , Social Networks , Social Networks ",https://www.astellainvest.com/en/people,https://www.linkedin.com/in/marcelo-hideo-sato/?originalSubdomain=br,https://www.twitter.com/SatoMarcelo,https://www.angel.co/u/marcelo-hideo-sato,https://www.crunchbase.com/person/marcelo-sato
Ilya,Korolev,$500K,$60K,$4.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Moscow, Delaware, Singapore, Europe  AI , AI , AR/VR , AR/VR , Developer Tools , Developer Tools , Enterprise , Enterprise , FinTech , FinTech , MarketingTech , MarketingTech , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Investors who were founders  ",https://www.esqvest.com/about,https://www.linkedin.com/in/douglas-ellenoff-588b682/,https://www.angel.co/u/douglas-ellenoff,https://www.crunchbase.com/person/douglas-ellenoff,
Stewart,Glynn,$1M,$250K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," London , Singapore, Nigeria, South Africa, San Francisco (CA) , Los Angeles (CA) , Brisbane (Australia), Melbourne (Australia), Sydney (Australia)  E-commerce , E-commerce , Education , Education , FinTech , FinTech , Food and Beverage , Food and Beverage , Future of Work , Future of Work , Gig Economy , Gig Economy , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Social Commerce , Social Commerce , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.waverleycapital.com/our-team,https://www.linkedin.com/in/daniel-leff/,https://www.twitter.com/dr_daniel_leff,https://www.angel.co/p/daniel-leff,https://www.crunchbase.com/person/daniel-leff
Marcelo,Franco,$100K,$20K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Consumer Health , Consumer Health , Consumer Internet , Consumer Internet , Entertainment & Sports , Entertainment & Sports , Marketplaces , Marketplaces , Raleigh-Durham / Southeast US  , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , Travel , Travel ",https://www.otb.vc/team,https://www.linkedin.com/in/marcinhejka/,https://www.angel.co/u/marcin-hejka,https://www.crunchbase.com/person/marcin-hejka,
Sanjay,Reddy,$1.1M,$650K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Los Angeles (CA) , Los Angeles / Southern California  AI , FinTech , Media/Content , SaaS (Seed) ",https://www.greencow.vc/,https://www.linkedin.com/in/viklakhwara/,https://www.angel.co/u/vlakhwara,https://www.crunchbase.com/person/vikram-lakhwara,
Paul,Sethi,$450K,$300K,$600K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) , Boston (MA) , Atlanta (GA) , Chicago (IL) , Toronto (Ontario) , Austin (TX) , Nashville-Davidson (TN), Boulder (CO) , Detroit (MI) , Dallas (TX) , Pittsburgh (PA) , Philadelphia (PA) , Washington (DC) , New Orleans (LA)  AI , AI , Data Services , Data Services , Diverse Investors  , Enterprise , Enterprise , FinTech , FinTech , Future of Work , Future of Work , Logistics , Logistics , Marketplaces , Marketplaces , New York City  , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , SMB Software , SMB Software , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.tsingyuan.ventures/team/,https://www.linkedin.com/in/erosenblum/,https://www.angel.co/u/eric-rosenblum-2,https://www.crunchbase.com/person/eric-rosenblum,
Dan,Roselli,$250K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Charlotte (NC) , United States FinTech , FinTech , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) ",https://innovationhub.innogy.com/,https://uk.linkedin.com/in/carlosnasillo/,https://www.crunchbase.com/person/carlos-nasillo,,
Amr,Alshihabi,$400K,$100K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States Diverse Investors  , FinTech , FinTech , Los Angeles / Southern California  , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.arcadiancap.com/,https://www.linkedin.com/in/mattnordgren/,https://www.crunchbase.com/person/matthew-nordgren,,
Tomasz,Mazuryk,$250K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe AI , AI , EnergyTech , EnergyTech , Health IT , Health IT , Human Capital/HRTech , Human Capital/HRTech , IoT , IoT , Logistics , Logistics , Medical Devices , Medical Devices , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , TransportationTech , TransportationTech , Investors who were founders  ",https://www.indicocapital.com/,https://www.linkedin.com/in/stephanmorais/,https://www.twitter.com/StephanMorais,https://www.angel.co/p/stephan-morais,https://www.crunchbase.com/person/stephan-morais
Oksana,Malysheva,$100K,$10K,$400K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Austin (TX) Enterprise , Enterprise , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.siskar.co/,https://www.linkedin.com/in/kevinsiskar/,https://www.twitter.com/TheSiskar,https://www.angel.co/kevin-siskar,https://www.crunchbase.com/person/kevin-siskar
Jeremy,Glassenberg,$10K,$1K,$50K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , AI , Developer Tools , Developer Tools , Enterprise , Enterprise , FinTech , FinTech , Marketplaces , Marketplaces , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , San Francisco Bay Area  , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.konvoy.vc/,https://www.linkedin.com/in/jasondchapman/,https://www.crunchbase.com/person/jason-chapman,,
Clay,Gordon,$500K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Denver (CO) AI , AI , FinTech , FinTech , Material Science , Material Science , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.iidf.vc/,https://www.linkedin.com/in/ilyakorolev/,https://www.crunchbase.com/person/ilya-korolev,,
Abhishek,Prasad,$1M,$500K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) AI , AI , Analytics , Analytics , Cloud Infrastructure , Cloud Infrastructure , Diverse Investors  , Enterprise , Enterprise , FinTech , FinTech , Insurance , Insurance , Logistics , Logistics , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.ten13.vc/,https://www.linkedin.com/in/stewglynn/,https://www.twitter.com/StewGlynn,,
Christopher,Rust,$2.0M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) AI , Cloud Infrastructure , Data Services , Enterprise , IoT , SaaS (Seed) , Security , Web3/Blockchain ",https://www.vervecapital.us/,https://www.linkedin.com/in/marcelofranco70/,https://www.crunchbase.com/person/marcelo-franco,,
Mitch,Patridge,$2.0M,$50K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Diego (CA) , Los Angeles / Southern California  AgTech , AI , Consumer Internet , FinTech , Food and Beverage , Health & Hospital Services , Lodging/Hospitality , Marketplaces , SaaS (Seed) ",https://www.unlockvp.com/team/,https://www.linkedin.com/in/psanjayreddy/,https://www.angel.co/p/sanjay-3,https://www.crunchbase.com/person/sanjay-reddy,
Neil,Kadisha,$3.0M,$2.0M,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Los Angeles (CA) , Los Angeles / Southern California , United States, Israel  BioTech , BioTech , Cloud Infrastructure , Cloud Infrastructure , E-commerce , E-commerce , EnergyTech , EnergyTech , Real Estate/PropTech , Real Estate/PropTech , SaaS (Seed) , SaaS (Series A) ",https://www.linkedin.com/in/paulsethi/,https://www.twitter.com/paulsethi,https://www.angel.co/paulsethi,https://www.crunchbase.com/person/paul-sethi,
Hershel,Mehta,$1.5M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Los Angeles (CA) Consumer Internet , Crypto/Web3 , Los Angeles / Southern California  , SaaS (Seed) , SMB Software , Web3/Blockchain ",https://www.linkedin.com/in/danielroselli/,https://www.angel.co/p/danielroselli,https://www.crunchbase.com/person/dan-roselli,,
Luis,Gutierrez-Roy,$350K,$100K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe, Canada , United States  AI , AI , ClimateTech/CleanTech , ClimateTech/CleanTech , Cybersecurity , Cybersecurity , Digital Health , Digital Health , FinTech , FinTech , Marketplaces , Marketplaces , Payments , Payments , Real Estate/PropTech , Real Estate/PropTech , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.movingcapital.com/,https://www.linkedin.com/in/amr-alshihabi/,https://www.twitter.com/amralshihabi,https://www.angel.co/uber-alumni-investment-club/syndicate,https://www.crunchbase.com/organization/moving-capital
