FName,LName,Target,Min,Max,Location,Focus,0,1,2,3,4
Kevin,Colleran,$500K,$50K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Canada , United States, SF Bay Area (CA) , Boston (MA)  AgTech , AgTech , AR/VR , AR/VR , Boston / New England  , Consumer Internet , Consumer Internet , Crypto/Web3 , Crypto/Web3 , SaaS (Pre-Seed) , SaaS (Seed) , Web3/Blockchain , Web3/Blockchain ",https://www.slow.co/,https://www.linkedin.com/in/kevcoll/,https://www.twitter.com/kevincolleran?lang=en,https://www.angel.co/p/kevincolleran,https://www.crunchbase.com/person/kevin-colleran
Jenny,Lefcourt,$2.5M,$1M,$4.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , San Francisco (CA) Diverse Investors  , Enterprise , Female Investors  , Future of Work , Logistics , Marketplaces , Real Estate/PropTech , SaaS (Seed) , San Francisco Bay Area  ",https://www.freestyle.vc/team-jenny-lefcourt/,https://www.linkedin.com/in/jennylefcourt/,https://www.twitter.com/jennylefcourt?lang=en,https://www.angel.co/p/jenny-lefcourt,https://www.crunchbase.com/person/jenny-lefcourt
Niko,Bonatsos,$2.0M,$500K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) , San Francisco (CA) Cloud Infrastructure , Consumer Internet , E-commerce , Education , Enterprise , IoT , Media/Content , SaaS (Seed) , San Francisco Bay Area  , Social Commerce , Social Networks ",https://www.generalcatalyst.com/team/niko-bonatsos/,https://www.linkedin.com/in/bonatsos/,https://www.twitter.com/bonatsos,https://www.angel.co/niko-bonatsos,https://www.crunchbase.com/person/niko-bonatsos
David,Tisch,$375K,$250K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) Cloud Infrastructure , Cloud Infrastructure , Consumer Internet , Consumer Internet , Data Services , Data Services , E-commerce , E-commerce , Education , Education , Enterprise , Enterprise , New York City  , Real Estate/PropTech , Real Estate/PropTech , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , Travel , Travel ",https://www.davidtisch.com/,https://www.linkedin.com/in/davetisch/,https://www.twitter.com/davidtisch,https://www.angel.co/davidtisch,https://www.crunchbase.com/person/david-tisch
Lan,Xuezhao,$2.5M,$1M,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, SF Bay Area (CA) , New York (NY) , Los Angeles (CA) , Utah, Chicago (IL) , Denver (CO) , Seattle (WA) , Midwest  AI , AR/VR , AutoTech , ClimateTech/CleanTech , Cloud Infrastructure , Creator/Passion Economy , Crypto/Web3 , Diverse Investors  , Enterprise , Female Investors  , SaaS (Seed) , San Francisco Bay Area  , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.basisset.ventures/team,https://www.linkedin.com/in/xuezhao-lan-50aa1a1/,https://www.twitter.com/xuezhao,https://www.angel.co/u/xuezhao-lan,https://www.crunchbase.com/person/xuezhao-lan
Ron,Conway,$50K,$25K,$100K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) E-commerce , E-commerce , Enterprise , Enterprise , Games , Games , Marketplaces , Marketplaces , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.svangel.com/team/,https://www.linkedin.com/in/ron-conway-17692953/,https://www.twitter.com/RonConway,https://www.crunchbase.com/person/ron-conway,
Mike,Brown,$1.8M,$1M,$2.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) Advertising , Analytics , Cloud Infrastructure , Enterprise , FinTech , Insurance , MarketingTech , SaaS (Seed) , Security ",https://www.bowerycap.com/,https://www.linkedin.com/in/browmich/,https://www.twitter.com/bowerycapital,https://www.angel.co/mikebrownjr,https://www.crunchbase.com/person/mike-brown-jr
Yodfat,Buchris,$2.8M,$500K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Tel Aviv (Israel) BioTech , Health & Hospital Services , Health IT , Israel  , Manufacturing , Media/Content , Real Estate/PropTech , SaaS (Seed) ",https://www.blumbergcapital.com/team/yodfat-harel-buchris/,https://www.linkedin.com/in/yodfat-harel-buchris-11708281/,https://www.angel.co/yodfat-harel-buchris,https://www.crunchbase.com/person/yodfat-harel-buchris,
Mark,Suster,$1M,$750K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Santa Monica (CA) Advertising , Advertising , Enterprise , Enterprise , Future of Work , Future of Work , Los Angeles / Southern California  , Media/Content , Media/Content , SaaS (Pre-Seed) , SaaS (Seed) , Social Networks , Social Networks ",https://www.upfront.com/team/#mark-suster,https://www.linkedin.com/in/marksuster/,https://www.twitter.com/msuster,https://www.crunchbase.com/person/mark-suster,
Lolita,Taub,$38K,$25K,$50K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States Angel, Scout, and Solo-Capitalists  , Diverse Investors  , Enterprise , Enterprise , Female Investors  , Insurance , Insurance , Los Angeles / Southern California  , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.lolitataub.co/,https://www.linkedin.com/in/lolitataub/,https://www.twitter.com/LolitaTaub,https://www.angel.co/lolitataub,https://www.crunchbase.com/person/lolita-taub
Ryan,McIntyre,$1.5M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Boulder (CO) Colorado / Utah  , Enterprise , IoT , MarketingTech , SaaS (Seed) ",https://www.foundry.vc/,https://www.linkedin.com/in/ryanmcintyre/,https://www.twitter.com/ryan_mcintyre,https://www.angel.co/p/ryan_mcintyre,https://www.crunchbase.com/person/ryan-mcintyre
Dmitry,Alimov,$1M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States Consumer Internet , Consumer Internet , Enterprise , Enterprise , FinTech , FinTech , Food and Beverage , Food and Beverage , Future of Work , Future of Work , Marketplaces , Marketplaces , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , SMB Software , SMB Software , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.frontier.ventures/,https://www.linkedin.com/in/dalimov/,https://www.twitter.com/thefrontierman,https://www.angel.co/dmitry-alimov,https://www.crunchbase.com/person/dmitry-alimov
